Aire;Type;Localisation;Équipements aire de repos;Carburant;Restauration;Hôtellerie;Autres;Commentaire;Site internet
Därlingen;Repos;Km 15;Oui;/;/;/;/;/;/
Iseltwald-Süd;Repos;Km 31;Oui;/;/;/;/;/;
