Aire;Type;Localisation;Équipements aire de repos;Carburant;Restauration;Hôtellerie;Autres;Commentaire;Site internet
Campagnola-Sud;Ravitaillement;Km 183;Oui;Eni;/;/;Boutiques, douches;Accès PMR;/
Ghiffa;Repos;Km 153;Oui;/;/;/;/;/;/
Isola;Repos;Km 147;Oui;/;/;/;/;Lac d'Isola (Lago d'Isola);/
Rofla;Repos;Km 118;Oui;/;/;/;/;/;/
Viamala;Ravitaillement;Km 100;Oui;Avia;Raststätte Viamala;/;Distributeur de billets, douches, nurserie, boutiques, salle de conférence, aire de jeux;Accès PMR, aire accessible dans les deux sens de circulation par un pont routier.;Restoroute Viamala
Apfelwuhr;Repos;Km 65;Oui;/;/;/;/;/;/
Heidiland;Ravitaillement;Km 58;Oui;Shell/BP;Marché Restaurant, Burger King;/;Distributeur de billets, Internet, WIFI gratuit, douches, boutiques, salle de conférence, aire de jeux, nurserie;Accès PMR, aire accessible dans les deux sens de circulation par un pont routier.;Restoroute Heidiland
Rheintal-Ost;Ravitaillement;Km 39;Oui;Avia (+ GPL);Raststätte Rheintal;/;Distributeur de billets, Internet, WIFI gratuit, aire de jeux, boutiques;Accès PMR, aire accessible dans les deux sens de circulation par une passerelle piétonne.;Restoroute Rheintal-Ost
Kriessern-Süd;Repos;Km 10;Oui;/;/;/;/;/;/
