scenario,car_id,highway,sens,entry_time_min,battery_pct_initial,consumption_pct_per_km,remaining_range_km,assigned_station_id,assigned_station_name,station_pk,station_chargers,arrival_time_min,arrival_slot,waiting_time_min,charging_start_min,charging_end_min,assigned_charger_index,distance_to_station_km,distance_station_to_exit_km,battery_used_to_station_pct,battery_pct_at_station,battery_needed_to_exit_after_charge_pct,battery_pct_after_charge,station_rank_assigned,station_rank_max_feasible,assigned_furthest,fallback_steps
A13_sens_plus,0,A13,1,0.0,82.44834213522496,0.18771968863104987,439.20988116100864,4,Ghiffa,153.0,1,91.8,9,0.0,91.8,101.8,0,153.0,37.0,28.72111236055063,53.72722977467433,6.945628479348845,100.0,4,4,1,0
A13_sens_plus,1,A13,1,0.23346303501945526,16.178143456939456,0.20099519345782432,80.49020067902362,1,Apfelwuhr,65.0,1,39.233463035019454,3,0.0,39.233463035019454,49.233463035019454,0,65.0,125.0,13.064687574758581,3.113455882180874,25.12439918222804,100.0,1,1,1,0
A13_sens_plus,2,A13,1,0.4669260700389105,31.80558047349102,0.1978210070368083,160.7795903474144,4,Ghiffa,153.0,1,92.2669260700389,9,9.533073929961091,101.8,111.8,0,153.0,37.0,30.26661407663167,1.538966396859351,7.319377260361907,100.0,4,4,1,0
A13_sens_plus,3,A13,1,0.7003891050583657,59.74803857969064,0.18996527931405074,314.5208366257033,3,Isola,147.0,1,88.90038910505837,8,0.0,88.90038910505837,98.90038910505837,0,147.0,43.0,27.92489605916546,31.823142520525185,8.168507010504182,100.0,3,4,0,1
A13_sens_plus,4,A13,1,0.933852140077821,84.72227266314914,0.1770117277884933,478.6251946220285,3,Isola,147.0,1,89.13385214007782,8,9.766536964980546,98.90038910505837,108.90038910505837,0,147.0,43.0,26.020723984908518,58.70154867824063,7.611504294905212,100.0,3,4,0,1
A13_sens_plus,5,A13,1,1.1673151750972763,16.795742955102124,0.16386591852520518,102.49686515819744,2,Viamala,100.0,16,61.16731517509728,6,0.0,61.16731517509728,71.16731517509729,0,100.0,90.0,16.386591852520517,0.4091511025816068,14.747932667268467,100.0,2,2,1,0
A13_sens_plus,6,A13,1,1.4007782101167314,60.33838133823697,0.2107898699964107,286.248961296216,2,Viamala,100.0,16,61.400778210116734,6,0.0,61.400778210116734,71.40077821011673,1,100.0,90.0,21.07898699964107,39.2593943385959,18.971088299676964,100.0,2,4,0,2
A13_sens_plus,7,A13,1,1.6342412451361867,72.04573971794095,0.16326634441119145,441.27734946089976,2,Viamala,100.0,16,61.63424124513619,6,0.0,61.63424124513619,71.6342412451362,2,100.0,90.0,16.326634441119143,55.71910527682181,14.69397099700723,100.0,2,4,0,2
A13_sens_plus,8,A13,1,1.867704280155642,50.91548096825677,0.23405387945347683,217.53743662419106,2,Viamala,100.0,16,61.86770428015564,6,0.0,61.86770428015564,71.86770428015564,3,100.0,90.0,23.405387945347684,27.51009302290909,21.064849150812915,100.0,2,4,0,2
A13_sens_plus,9,A13,1,2.1011673151750974,69.88061749300027,0.2182765732416432,320.14712552610445,2,Viamala,100.0,16,62.1011673151751,6,0.0,62.1011673151751,72.1011673151751,4,100.0,90.0,21.82765732416432,48.05296016883595,19.64489159174789,100.0,2,4,0,2
A13_sens_plus,10,A13,1,2.3346303501945527,80.43931820849674,0.18857472098735228,426.5646942884344,2,Viamala,100.0,16,62.33463035019455,6,0.0,62.33463035019455,72.33463035019454,5,100.0,90.0,18.85747209873523,61.581846109761514,16.971724888861704,100.0,2,4,0,2
A13_sens_plus,11,A13,1,2.568093385214008,49.93173134647553,0.21940279916330752,227.58019285483215,2,Viamala,100.0,16,62.568093385214006,6,0.0,62.568093385214006,72.56809338521401,6,100.0,90.0,21.940279916330752,27.991451430144778,19.746251924697678,100.0,2,4,0,2
A13_sens_plus,12,A13,1,2.801556420233463,73.59240929624141,0.2347349864980377,313.5127421529752,2,Viamala,100.0,16,62.80155642023346,6,0.0,62.80155642023346,72.80155642023345,7,100.0,90.0,23.47349864980377,50.11891064643764,21.126148784823393,100.0,2,4,0,2
A13_sens_plus,13,A13,1,3.035019455252918,14.413783136296612,0.17351337594779134,83.07015558635429,1,Apfelwuhr,65.0,1,42.03501945525292,4,7.198443579766533,49.233463035019454,59.233463035019454,0,65.0,125.0,11.278369436606438,3.135413699690174,21.689171993473916,100.0,1,1,1,0
A13_sens_plus,14,A13,1,3.2684824902723735,68.4287345711825,0.2324252523246224,294.4117899702647,2,Viamala,100.0,16,63.268482490272376,6,0.0,63.268482490272376,73.26848249027238,8,100.0,90.0,23.242525232462242,45.18620933872026,20.918272709216016,100.0,2,4,0,2
A13_sens_plus,15,A13,1,3.501945525291829,71.83221860160381,0.2073591751904566,346.4144691722799,2,Viamala,100.0,16,63.50194552529183,6,0.0,63.50194552529183,73.50194552529183,9,100.0,90.0,20.73591751904566,51.096301082558156,18.662325767141095,100.0,2,4,0,2
A13_sens_plus,16,A13,1,3.735408560311284,15.31759481477966,0.1808321488017354,84.70614830537623,0,Heidiland,58.0,6,38.53540856031128,3,0.0,38.53540856031128,48.53540856031128,0,58.0,132.0,10.488264630500653,4.829330184279007,23.86984364182907,100.0,0,1,0,1
A13_sens_plus,17,A13,1,3.9688715953307394,18.404732922671727,0.17663679851305816,104.19534931341686,2,Viamala,100.0,16,63.96887159533074,6,0.0,63.96887159533074,73.96887159533074,10,100.0,90.0,17.663679851305815,0.7410530713659114,15.897311866175235,100.0,2,2,1,0
A13_sens_plus,18,A13,1,4.202334630350195,41.20757287828232,0.23950150968523118,172.05558717537963,2,Viamala,100.0,16,64.2023346303502,6,0.0,64.2023346303502,74.2023346303502,11,100.0,90.0,23.95015096852312,17.257421909759202,21.555135871670807,100.0,2,4,0,2
