scenario,car_id,highway,sens,entry_time_min,battery_pct_initial,consumption_pct_per_km,remaining_range_km,assigned_station_id,assigned_station_name,station_pk,station_chargers,arrival_time_min,arrival_slot,waiting_time_min,charging_start_min,charging_end_min,assigned_charger_index,distance_to_station_km,distance_station_to_exit_km,battery_used_to_station_pct,battery_pct_at_station,battery_needed_to_exit_after_charge_pct,battery_pct_after_charge,station_rank_assigned,station_rank_max_feasible,assigned_furthest,fallback_steps,forced_over_threshold
A8_sens_plus,0,A8,1,0,19.805240773909727,0.17882322663571365,110.75317869224895,0,Iseltwald-Nord,31.0,6,18.6,1,0.0,18.6,28.6,0,31.0,56.0,5.5435200257071235,14.261720748202602,10.014100691599964,100.0,0,0,1,0,0
A8_sens_plus,1,A8,1,1,30.649045981821843,0.16465595509727793,186.13991801094917,0,Iseltwald-Nord,31.0,6,19.6,1,0.0,19.6,29.6,1,31.0,56.0,5.104334608015616,25.544711373806226,9.220733485447564,100.0,0,0,1,0,0
A8_sens_plus,2,A8,1,2,42.461658225690485,0.2272160590952181,186.87789232316683,0,Iseltwald-Nord,31.0,6,20.6,2,0.0,20.6,30.6,2,31.0,56.0,7.043697831951762,35.417960393738724,12.724099309332214,100.0,0,0,1,0,0
A8_sens_plus,3,A8,1,3,87.53471585155376,0.19536193813167005,448.0643296677222,0,Iseltwald-Nord,31.0,6,21.6,2,0.0,21.6,31.6,3,31.0,56.0,6.056220082081771,81.47849576947199,10.940268535373523,100.0,0,0,1,0,0
A8_sens_plus,4,A8,1,4,22.985369982845345,0.1787879600616808,128.56218044501168,0,Iseltwald-Nord,31.0,6,22.6,2,0.0,22.6,32.6,4,31.0,56.0,5.542426761912105,17.44294322093324,10.012125763454124,100.0,0,0,1,0,0
A8_sens_plus,5,A8,1,5,78.58349388454172,0.17116228200465508,459.1168858242057,0,Iseltwald-Nord,31.0,6,23.6,2,0.0,23.6,33.6,5,31.0,56.0,5.306030742144308,73.27746314239742,9.585087792260685,100.0,0,0,1,0,0
A8_sens_plus,6,A8,1,6,23.04362168568524,0.2483621585517616,92.7823377766411,0,Iseltwald-Nord,31.0,6,24.6,2,4.0,28.6,38.6,0,31.0,56.0,7.69922691510461,15.344394770580628,13.90828087889865,100.0,0,0,1,0,0
A8_sens_plus,7,A8,1,7,37.03695591727339,0.21463069137077348,172.56132233806315,0,Iseltwald-Nord,31.0,6,25.6,2,4.0,29.6,39.6,1,31.0,56.0,6.653551432493978,30.383404484779412,12.019318716763316,100.0,0,0,1,0,0
A8_sens_plus,8,A8,1,8,64.21782539044293,0.20230638924619143,317.42855789045166,0,Iseltwald-Nord,31.0,6,26.6,2,4.0,30.6,40.6,2,31.0,56.0,6.271498066631934,57.94632732381099,11.32915779778672,100.0,0,0,1,0,0
A8_sens_plus,9,A8,1,9,59.32273372511271,0.1614195508549965,367.50649726687965,0,Iseltwald-Nord,31.0,6,27.6,2,4.0,31.6,41.6,3,31.0,56.0,5.004006076504892,54.31872764860782,9.039494847879805,100.0,0,0,1,0,0
A8_sens_plus,10,A8,1,10,86.39489312547995,0.2412444095195763,358.12184538298806,0,Iseltwald-Nord,31.0,6,28.6,2,4.0,32.6,42.6,4,31.0,56.0,7.478576695106865,78.91631643037309,13.509686933096273,100.0,0,0,1,0,0
A8_sens_plus,11,A8,1,11,42.91206246938991,0.1832786836135392,234.13558862019184,0,Iseltwald-Nord,31.0,6,29.6,2,4.0,33.6,43.6,5,31.0,56.0,5.6816391920197145,37.23042327737019,10.263606282358195,100.0,0,0,1,0,0
A8_sens_plus,12,A8,1,12,85.17134495827156,0.22907410570420036,371.8069517130492,0,Iseltwald-Nord,31.0,6,30.6,3,8.0,38.6,48.6,0,31.0,56.0,7.101297276830211,78.07004768144135,12.828149919435221,100.0,0,0,1,0,0
A8_sens_plus,13,A8,1,13,84.13989542028482,0.24053367527791866,349.80505462724693,0,Iseltwald-Nord,31.0,6,31.6,3,8.0,39.6,49.6,1,31.0,56.0,7.456543933615478,76.68335148666934,13.469885815563446,100.0,0,0,1,0,0
A8_sens_plus,14,A8,1,14,67.24573935542924,0.17058457371948155,394.20762317002794,0,Iseltwald-Nord,31.0,6,32.6,3,8.0,40.6,50.6,2,31.0,56.0,5.288121785303928,61.95761757012531,9.552736128290967,100.0,0,0,1,0,0
A8_sens_plus,15,A8,1,15,11.556968864267532,0.2477948121703804,46.63926884926515,0,Iseltwald-Nord,31.0,6,33.6,3,8.0,41.6,51.6,3,31.0,56.0,7.6816391772817925,3.875329686985739,13.876509481541303,100.0,0,0,1,0,0
A8_sens_plus,16,A8,1,16,73.7919440044343,0.23941978940663303,308.2115483741626,0,Iseltwald-Nord,31.0,6,34.6,3,8.0,42.6,52.6,4,31.0,56.0,7.422013471605624,66.36993053282868,13.40750820677145,100.0,0,0,1,0,0
A8_sens_plus,17,A8,1,17,82.06041507624909,0.20661261830359753,397.17039428670876,0,Iseltwald-Nord,31.0,6,35.6,3,8.0,43.6,53.6,5,31.0,56.0,6.404991167411524,75.65542390883756,11.570306625001463,100.0,0,0,1,0,0
A8_sens_plus,18,A8,1,18,51.90902558236499,0.22243141651785087,233.37092572172293,0,Iseltwald-Nord,31.0,6,36.6,3,12.0,48.6,58.6,0,31.0,56.0,6.895373912053377,45.01365167031161,12.456159324999648,100.0,0,0,1,0,0
