scenario,car_id,highway,sens,entry_time_min,battery_pct_initial,consumption_pct_per_km,remaining_range_km,assigned_station_id,assigned_station_name,station_pk,station_chargers,arrival_time_min,arrival_slot,waiting_time_min,charging_start_min,charging_end_min,assigned_charger_index,distance_to_station_km,distance_station_to_exit_km,battery_used_to_station_pct,battery_pct_at_station,battery_needed_to_exit_after_charge_pct,battery_pct_after_charge,station_rank_assigned,station_rank_max_feasible,assigned_furthest,fallback_steps,forced_over_threshold
A2_sens_plus,0,A2,1,0,71.91648388447706,0.2408580690707607,298.584490699994,19,Coldrerio-Ovest,283.0,7,169.8,16,0.0,169.8,179.8,0,283.0,8.0,68.16283354702529,3.7536503374517736,1.9268645525660857,100.0,19,19,1,0,0
A2_sens_plus,1,A2,1,1,45.11027518016419,0.21997071338107496,205.07400502000291,12,Lavorgo,201.0,1,121.6,12,0.0,121.6,131.6,0,201.0,90.0,44.214113389596065,0.8961617905681223,19.797364204296745,100.0,12,12,1,0,0
A2_sens_plus,2,A2,1,2,78.6878335929106,0.17658699614595194,445.6037834624802,19,Coldrerio-Ovest,283.0,7,171.8,17,0.0,171.8,181.8,1,283.0,8.0,49.9741199093044,28.713713683606194,1.4126959691676155,100.0,19,19,1,0,0
A2_sens_plus,3,A2,1,3,65.78944232474912,0.24691763773477238,266.442863006073,17,Agno/Muzzano-Sud,263.0,1,160.79999999999998,16,0.0,160.79999999999998,170.79999999999998,0,263.0,28.0,64.93933872424513,0.850103600503985,6.913693856573627,100.0,17,17,1,0,0
A2_sens_plus,4,A2,1,4,17.534187831011963,0.22787509039657947,76.94648765907921,4,Knutwil-Süd,71.0,7,46.599999999999994,4,0.0,46.599999999999994,56.599999999999994,0,71.0,220.0,16.17913141815714,1.3550564128548217,50.13251988724748,100.0,4,4,1,0,0
A2_sens_plus,5,A2,1,5,88.04978813094047,0.22168901891589957,397.177039086195,19,Coldrerio-Ovest,283.0,7,174.8,17,0.0,174.8,184.8,2,283.0,8.0,62.73799235319958,25.31179577774089,1.7735121513271965,100.0,19,19,1,0,0
A2_sens_plus,6,A2,1,6,70.89117615922824,0.19493615021437885,363.66356923159947,19,Coldrerio-Ovest,283.0,7,175.8,17,0.0,175.8,185.8,3,283.0,8.0,55.16693051066922,15.72424564855902,1.5594892017150308,100.0,19,19,1,0,0
A2_sens_plus,7,A2,1,7,72.8851444221563,0.1772241561845159,411.2596498768055,19,Coldrerio-Ovest,283.0,7,176.8,17,0.0,176.8,186.8,4,283.0,8.0,50.154436200218,22.7307082219383,1.4177932494761272,100.0,19,19,1,0,0
A2_sens_plus,8,A2,1,8,20.24909061404367,0.1596390962153499,126.84292942079837,6,Neuenkirch-West,86.0,3,59.6,5,0.0,59.6,69.6,0,86.0,205.0,13.728962274520093,6.520128339523577,32.72601472414673,100.0,6,6,1,0,0
A2_sens_plus,9,A2,1,9,46.03087503164537,0.24026023965438417,191.58756812138816,11,San Gottardo-Sud Ambri-Piotta,185.0,6,120.0,12,0.0,120.0,130.0,0,185.0,106.0,44.44814433606107,1.5827306955843028,25.467585403364723,100.0,11,11,1,0,0
A2_sens_plus,10,A2,1,10,39.663841938606495,0.1955776289833611,202.80357290751758,12,Lavorgo,201.0,1,130.6,13,1.0,131.6,141.6,0,201.0,90.0,39.31110342565558,0.3527385129509142,17.601986608502497,100.0,12,12,1,0,0
A2_sens_plus,11,A2,1,11,84.14119910788814,0.17023633647952302,494.2611010547041,19,Coldrerio-Ovest,283.0,7,180.8,18,0.0,180.8,190.8,5,283.0,8.0,48.17688322370501,35.96431588418313,1.3618906918361842,100.0,19,19,1,0,0
A2_sens_plus,12,A2,1,12,61.50920960645316,0.18059566241506525,340.5907361445137,19,Coldrerio-Ovest,283.0,7,181.8,18,0.0,181.8,191.8,6,283.0,8.0,51.10857246346347,10.400637142989694,1.444765299320522,100.0,19,19,1,0,0
A2_sens_plus,13,A2,1,13,75.82092906166639,0.2079219568941896,364.6605206791665,19,Coldrerio-Ovest,283.0,7,182.8,18,0.0,182.8,192.8,0,283.0,8.0,58.84191380105566,16.97901526061073,1.6633756551535168,100.0,19,19,1,0,0
